fallacy_label	text
Ad Hominem	the natural habitat of the guerrilla is in jeopardy of not existing. Zoo's provide something of a to ensure survival of the species. Zoos may not always be ideal, but it is better than the alternatives.
Ad Hominem	humans are omnivores, we need both meat and vegetables.
Ad Hominem	You are the antichrist, you want to destroy our belief in god.
Ad Hominem	he was a big influence
Ad Hominem	Yeah, and you are a guy who loves war,  thats it. You like it when people die.
Ad Hominem	of course it all starts with a dream and a few dollars.
Ad Hominem	You are closed minded you need to get a life.
Ad Hominem	You're crazy if you think God is in charge.
Ad Hominem	You only think about money, right?  You would even sell your mom.
Ad Hominem	Yes, because you would be a miserable dictator.
Ad Hominem	You are so damn soft and weak.  I guess you did never do sports, right?
Ad Hominem	You have no idea how street is, you better stop talking!
Ad Hominem	If you are against these tests, you support doping.
Ad Hominem	"No it is not and never will be. Just because hipsters like you think that Apple's stuff looks ""so much cooler"" and throw their money at them does not make it any more important or powerful than Microsoft."
Ad Hominem	You are the only one who thinks about abusing these people.
Ad Hominem	Are you medically trained and you know when they baby is formed?
Ad Hominem	What is normal a closed mind is a handicap
Ad Hominem	You dont know how soccer works, have you ever kicked a ball?
Ad Hominem	a vegan diet is generally thought to contain more cereals, fruits, vegetables, nuts and seeds than a non-vegan diet.
Ad Hominem	"Oh, only ""experts"" like you would ask this silly question!"
Ad Hominem	And you are as stupid as they come... your logic is flawed and you need some debating tutolage.
Ad Hominem	yes we conitinue to repress them
Ad Hominem	Well you're ugly.
Ad Hominem	Of course not, what kind of expert are you to suggest this s*it?
Ad Hominem	You are such a right wing extremist!
Ad Hominem	I doubt that you know how the legal system in germany works.
Ad Hominem	Only people who are really dumb think celebrities get away with more crime.
Ad Hominem	Just because you would be a bad parent doesn't mean gay parents can't be good parents.
Ad Hominem	good life depends on the economy
Ad Hominem	After hogans heroes bob crane had his skull bashed in by a friend video taping having rough sex
Ad Hominem	You have really bad taste in music if you think he is influential.
Ad Hominem	Being able to smoke at home should not be illegal as it is giving up your freedom.
Ad Hominem	You are just dumb.
Ad Hominem	You're just a competitive idiot.
Ad Hominem	I think you have absolutely no idead, thats all.
Ad Hominem	I think you are a bit paranoid, aren't you?
Ad Hominem	You have obviously no idea of movies. Better get a bigger TV, maybe then you can see better what happens on the screen.
Ad Hominem	Classrooms are for learning not for talking on cellphones. Students should mute their phones during class if they really need to use them.
Ad Hominem	Yes, we have proof and don't need some nuts saying otherwise.
Ad Hominem	Im sure you have no children. That is the reason why you write something like this.
Ad Hominem	Sure Turkey is ready to join the European Union.  It would be a good thing for them to unit with another country.
Ad Hominem	Are you dumb? This is no reason against the title as worlds-greatest soccer-player, it is completely off topic.
Ad Hominem	they should work on how to make their production efficient and competitive, so they can compete with other countries.
Ad Hominem	THAT IS TRUE, BUT DRUG ADDICTS ARE GOING TO GET MARIJUANA EITHER WAY. WE SHOULD HELP SICK PEOPLE.
Ad Hominem	If you think they're too violent, maybe you should go back to watching Disney movies because you can't handle the harsh reality of the world.
Ad Hominem	Their must be something wrong with you and your child.
Ad Hominem	I guess you are vegan. You can see what it makes out of people...
Ad Hominem	What is an immigran? A good gran. Anyone who says otherwise is a bad person.
Ad Hominem	Why do you want a university-doctor's title to be shown on their identification-card? You must be one yourself, you egotistic prick ! Does it make you feel respected that we all know your little title?
Ad Hominem	Do you even know what you're talking about?
Ad Hominem	Everybody who sais, that global warning is no issue is a retard
Ad Hominem	Anyone who doesn't believe so is a naive idiot!
Ad Hominem	You are only against it, because you are poor.
Ad Hominem	yes, the language is intuitive and easy to learn.
Ad Hominem	You have absolutely no idea, you probably never had a newspaper in your hand.
Ad Hominem	Extinction is not natural, you dont know what you are talking about!
Ad Hominem	Its not good to use nuclear energy because it hurts the earth but you are to stupid to know that.,
Ad Hominem	I believe that you have no idea, thats why you didnt write a constructive argument.
Ad Hominem	If you are christian and against same sex-marriage you have hitlers mindset.
Ad Hominem	We have had people on the moon, no matter what conspiracy nuts living in their mother's basements say.
Ad Hominem	Yes, if you are not ready to join the military you are a traitor and a coward.
Ad Hominem	You are so oldschool and you will never be a digital native at all.
Ad Hominem	I like school uniforms... You just don't want it because you can't afford it!
Ad Hominem	An arugment like that could only be made by a stupid person, I suppose the grass is blue also?
Ad Hominem	Amen!!! And screw all the other gay motherfuckers who think it's not!!
Ad Hominem	Have you ever watched a movie? I think you have no idea of movies.
Ad Hominem	many people harms animals. japan still host annual whale hunts.
Ad Hominem	You nerd, go read some books instead of arguing.
Ad Hominem	He is a good charitable person, so yes he does.
Ad Hominem	Yes, everyone who doesn't use it is just too stupid to understand it.
Ad Hominem	that is another case. The strict laws are for all drugs which are quite lot and a long list. Removing and adding drugs to that list is a different case
Ad Hominem	You are an animal hater, go hurt some puppies!
Ad Hominem	Smoking at home should be legal, and those that think otherwise are conspiracy cases who see the government bogeyman under every rock.
